,p_ghg,p_ghg,p_ghg,p_ra,p_ra,p_ra
,lb,value,ub,lb,value,ub
2022,17.8,500,500,36,1000,1000
2023,18.8,500,500,36,1000,1000
2024,19.7,500,500,36,1000,1000
2025,20.8,500,500,36,1000,1000
2026,21.9,500,500,36,1000,1000
2027,23,500,500,36,1000,1000
2028,24.2,500,500,36,1000,1000
2029,25.5,500,500,36,1000,1000
2030,26.9,500,500,36,1000,1000
2031,28.3,500,500,36,1000,1000
2032,29.8,500,500,36,1000,1000
2033,31.4,500,500,36,1000,1000
2034,33,500,500,36,1000,1000
2035,34.8,500,500,36,1000,1000
2036,36.6,500,500,36,1000,1000
2037,38.6,500,500,36,1000,1000
2038,40.6,500,500,36,1000,1000
2039,42.7,500,500,36,1000,1000
2040,45,500,500,36,1000,1000
2041,47.4,500,500,36,1000,1000
2042,49.9,500,500,36,1000,1000
2043,52.5,500,500,36,1000,1000
2044,55.3,500,500,36,1000,1000
2045,58.2,500,500,36,1000,1000
2046,61.3,500,500,36,1000,1000
2047,64.6,500,500,36,1000,1000
2048,68,500,500,36,1000,1000
2049,71.6,500,500,36,1000,1000
2050,75.4,500,500,36,1000,1000
2051,79.4,500,500,36,1000,1000
2052,83.6,500,500,36,1000,1000
2053,0,500,500,36,1000,1000
2054,0,500,500,36,1000,1000
2055,0,500,500,36,1000,1000
2056,0,500,500,36,1000,1000
2057,0,500,500,36,1000,1000
2058,0,500,500,36,1000,1000
2059,0,500,500,36,1000,1000
2060,0,500,500,36,1000,1000
2061,0,500,500,36,1000,1000
2062,0,500,500,36,1000,1000
2063,0,500,500,36,1000,1000
2064,0,500,500,36,1000,1000
2065,0,500,500,36,1000,1000
2066,0,500,500,36,1000,1000
2067,0,500,500,36,1000,1000
2068,0,500,500,36,1000,1000
2069,0,500,500,36,1000,1000
2070,0,500,500,36,1000,1000
2071,0,500,500,36,1000,1000
2072,0,500,500,36,1000,1000
2073,0,500,500,36,1000,1000
2074,0,500,500,36,1000,1000
2075,0,500,500,36,1000,1000
2076,0,500,500,36,1000,1000
2077,0,500,500,36,1000,1000
2078,0,500,500,36,1000,1000
2079,0,500,500,36,1000,1000