,p_ghg,p_ghg,p_ghg,p_ra,p_ra,p_ra
,lb,value,ub,lb,value,ub
2022,21.99149446,500,500,38.74057958,1000,1000
2023,21.99149446,500,500,38.74057958,1000,1000
2024,23.20372527,500,500,38.74057958,1000,1000
2025,24.38985561,500,500,38.74057958,1000,1000
2026,25.69498996,500,500,38.74057958,1000,1000
2027,27.06101987,500,500,38.74057958,1000,1000
2028,28.46362802,500,500,38.74057958,1000,1000
2029,29.92079635,500,500,38.74057958,1000,1000
2030,31.46432736,500,500,38.74057958,1000,1000
2031,33.08820207,500,500,38.74057958,1000,1000
2032,34.80697833,500,500,38.74057958,1000,1000
2033,36.60658848,500,500,38.74057958,1000,1000
2034,38.49020829,500,500,38.74057958,1000,1000
2035,40.46862437,500,500,38.74057958,1000,1000
2036,42.55902219,500,500,38.74057958,1000,1000
2037,44.76737191,500,500,38.74057958,1000,1000
2038,47.08759537,500,500,38.74057958,1000,1000
2039,49.53212767,500,500,38.74057958,1000,1000
2040,52.1083823,500,500,38.74057958,38.74057958,38.74057958
2041,54.84922532,500,500,38.74057958,38.74057958,38.74057958
2042,57.74985732,500,500,38.74057958,38.74057958,38.74057958
2043,60.812846,500,500,38.74057958,38.74057958,38.74057958
2044,64.03895348,500,500,38.74057958,38.74057958,38.74057958
2045,67.42871697,500,500,38.74057958,38.74057958,38.74057958
2046,70.99718955,500,500,38.74057958,38.74057958,38.74057958
2047,74.76486908,500,500,38.74057958,38.74057958,38.74057958
2048,78.73849087,500,500,38.74057958,38.74057958,38.74057958
2049,82.92356537,500,500,38.74057958,38.74057958,38.74057958
2050,87.33052063,500,500,38.74057958,38.74057958,38.74057958
2051,87.33052063,500,500,38.74057958,38.74057958,38.74057958
2052,87.33052063,500,500,38.74057958,38.74057958,38.74057958
2053,87.33052063,500,500,38.74057958,38.74057958,38.74057958
2054,87.33052063,500,500,38.74057958,38.74057958,38.74057958
2055,87.33052063,500,500,38.74057958,38.74057958,38.74057958
2056,87.33052063,500,500,38.74057958,38.74057958,38.74057958
2057,87.33052063,500,500,38.74057958,38.74057958,38.74057958
2058,87.33052063,500,500,38.74057958,38.74057958,38.74057958
2059,87.33052063,500,500,38.74057958,38.74057958,38.74057958
2060,87.33052063,500,500,38.74057958,38.74057958,38.74057958
2061,87.33052063,500,500,38.74057958,38.74057958,38.74057958
2062,87.33052063,500,500,38.74057958,38.74057958,38.74057958
2063,87.33052063,500,500,38.74057958,38.74057958,38.74057958
2064,87.33052063,500,500,38.74057958,38.74057958,38.74057958
2065,87.33052063,500,500,38.74057958,38.74057958,38.74057958
2066,87.33052063,500,500,38.74057958,38.74057958,38.74057958
2067,87.33052063,500,500,38.74057958,38.74057958,38.74057958
2068,87.33052063,500,500,38.74057958,38.74057958,38.74057958
2069,87.33052063,500,500,38.74057958,38.74057958,38.74057958
2070,87.33052063,500,500,38.74057958,38.74057958,38.74057958
2071,87.33052063,500,500,38.74057958,38.74057958,38.74057958
2072,87.33052063,500,500,38.74057958,38.74057958,38.74057958
2073,87.33052063,500,500,38.74057958,38.74057958,38.74057958
2074,87.33052063,500,500,38.74057958,38.74057958,38.74057958
2075,87.33052063,500,500,38.74057958,38.74057958,38.74057958
2076,87.33052063,500,500,38.74057958,38.74057958,38.74057958
2077,87.33052063,500,500,38.74057958,38.74057958,38.74057958
2078,87.33052063,500,500,38.74057958,38.74057958,38.74057958
2079,87.33052063,500,500,38.74057958,38.74057958,38.74057958